,focal,partner,reaction,class,flux
254,1334,793,EX_gua_e,co-consumed,0.05539093457271766
255,1334,793,EX_h2o2_e,provided,4.240259610680769e-06
256,1334,793,EX_h2o_e,received,1.01404731274507
257,1334,793,EX_h2s_e,co-consumed,0.0560629797158224
258,1334,793,EX_h_e,co-consumed,1.0167945260993354
259,1334,793,EX_hexs_e,received,1.161320938721416e-06
260,1334,793,EX_his__L_e,co-consumed,1.0724407875339424e-06
261,1334,793,EX_hishis_e,co-consumed,6.188072051596154e-06
262,1334,793,EX_hxan_e,co-consumed,2.6542717977285926e-06
263,1334,793,EX_ile__L_e,co-consumed,3.5981613529945235e-06
264,1334,793,EX_ins_e,provided,1.9341624785046526e-06
265,1334,793,EX_istfrnA_e,provided,0.0001223307572704
266,1334,793,EX_istfrnB_e,provided,0.00012422783244163461
267,1334,793,EX_k_e,co-consumed,0.04445343765071817
268,1334,793,EX_leu__L_e,co-consumed,0.10185138123911715
269,1334,793,EX_lnlc_e,received,4.195221746665385e-05
270,1334,793,EX_lys__L_e,provided,0.07815106020413656
271,1334,793,EX_mal__L_e,co-consumed,0.0003010591606870154
272,1334,793,EX_malthp_e,provided,1.4219716848849426e-06
273,1334,793,EX_malthx_e,provided,1.3189682014105547e-06
274,1334,793,EX_meoh_e,provided,7.235328516792308e-06
275,1334,793,EX_met_L_ala__L_e,provided,1.4249217588405172e-06
276,1334,793,EX_met__L_e,provided,1.3923963997056034e-06
277,1334,793,EX_metox_e,provided,1.3554957140419765e-06
278,1334,793,EX_mg2_e,co-consumed,0.00197565260848315
279,1334,793,EX_mn2_e,co-consumed,0.0001573689907765423
280,1334,793,EX_mnl_e,received,1.5537924750288721e-06
281,1334,793,EX_no2_e,received,1.5148397915692202e-06
282,1334,793,EX_no3_e,provided,4.684385232161539e-06
283,1334,793,EX_no_e,received,3.304672530217461e-06
284,1334,793,EX_o2_e,co-consumed,3.84615362881746
285,1334,793,EX_orn_e,co-consumed,0.0503264315059086
286,1334,793,EX_peamn_e,received,1.4584887356994686e-06
287,1334,793,EX_pheme_e,provided,2.037203969611639e-06
288,1334,793,EX_pi_e,co-consumed,0.21972281109387895
289,1334,793,EX_pnto__R_e,co-consumed,4.833702521980769e-06
290,1334,793,EX_pro__L_e,co-consumed,2.120335299194212e-06
291,1334,793,EX_pyovd_kt_e,received,0.00011917428467593847
292,1334,793,EX_pyr_e,co-consumed,1.012764539404163e-06
293,1334,793,EX_rib__D_e,co-consumed,1.0723937787872875e-06
