MS.Label,date,Sample.label.on.tube,Species,Tissue.type,Condition.1,Condition.2,exp,prtcl,Technical.replicate,Biological.replicate,Harvested.culture.volume.[ml],Culture.age.[passage.number].**,GroupVar,Compound,ISTD,Resp,ISTD.Resp,Resp.Ratio,Acq.Method.Condensed
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Maleate,Ribitol,"5,030.62","451,269.03",0.01,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Maltose,Ribitol,"326,397.05","356,619.12",0.92,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Maltose,Ribitol,"226,616.73","451,269.03",0.50,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Myoinositol,Ribitol,"791,965.97","356,619.12",2.22,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Myoinositol,Ribitol,"805,389.38","451,269.03",1.78,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Proline,Ribitol,"54,580.14","356,619.12",0.15,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Proline,Ribitol,"32,894.41","451,269.03",0.07,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,quinate_UK_14.438,Ribitol,"185,636.03","356,619.12",0.52,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,quinate_UK_14.438,Ribitol,"206,153.55","451,269.03",0.46,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Raffinose,Ribitol,"37,403.52","356,619.12",0.10,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Raffinose,Ribitol,"64,254.65","451,269.03",0.14,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,ribonate_UK,Ribitol,"42,671.27","356,619.12",0.12,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,ribonate_UK,Ribitol,"47,524.40","451,269.03",0.11,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Serine,Ribitol,"515,853.01","356,619.12",1.45,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Serine,Ribitol,"427,548.79","451,269.03",0.95,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Shikimate,Ribitol,"94,786.45","356,619.12",0.27,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Shikimate,Ribitol,"104,173.70","451,269.03",0.23,split
22-0023_125,230524,125,Hordeum vulgare (AF mock),"apoplastic fluid from mock roots, 7 dpi","crude extract, in CHCl3",,4,4,3,3,"0,9",7dpi,"Hordeum vulgare (AF mock)_apoplastic fluid from mock roots, 7 dpi",Stigmast-5-ene,Cholesterol_TMS,"1,939,271.86","1,509.99","1,284.29",splitless
22-0023_125,230524,125,Hordeum vulgare (AF mock),"apoplastic fluid from mock roots, 7 dpi","crude extract, in CHCl3",,4,4,3,3,"0,9",7dpi,"Hordeum vulgare (AF mock)_apoplastic fluid from mock roots, 7 dpi",Stigmastanol_TMS,Cholesterol_TMS,"5,678,833.93","1,509.99","3,760.84",splitless
22-0023_125,230524,125,Hordeum vulgare (AF mock),"apoplastic fluid from mock roots, 7 dpi","crude extract, in CHCl3",,4,4,3,3,"0,9",7dpi,"Hordeum vulgare (AF mock)_apoplastic fluid from mock roots, 7 dpi",Stigmasterol_TMS,Cholesterol_TMS,"888,377.89","1,509.99",588.33,splitless
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Succinate,Ribitol,"209,052.59","356,619.12",0.59,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Succinate,Ribitol,"199,448.04","451,269.03",0.44,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Sucrose,Ribitol,"92,447.65","356,619.12",0.26,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Sucrose,Ribitol,"160,133.21","451,269.03",0.35,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Threonate_UK_11.5,Ribitol,"161,052.82","356,619.12",0.45,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Threonate_UK_11.5,Ribitol,"233,665.10","451,269.03",0.52,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Threonate_UK_11.7,Ribitol,"101,984.58","356,619.12",0.29,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Threonate_UK_11.7,Ribitol,"115,436.85","451,269.03",0.26,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Threonine,Ribitol,"124,823.53","356,619.12",0.35,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Threonine,Ribitol,"126,435.98","451,269.03",0.28,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,tyramine_UK_11.19,Ribitol,"1,307,056.01","356,619.12",3.67,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,tyramine_UK_11.19,Ribitol,"2,202,584.24","451,269.03",4.88,split
22-0023_139,230531,125,Hordeum vulgare (AF mock),interphase,,,4,4,3,3,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Valine,Ribitol,"476,610.78","356,619.12",1.34,split
22-0023_142,230534,128,Hordeum vulgare (AF mock),interphase,,,4,4,4,4,"0,9",7dpi,Hordeum vulgare (AF mock)_interphase,Valine,Ribitol,"498,620.94","451,269.03",1.10,split
